symbol,date,value
lka.ag.lnd.agri.zs,1961-06-15T00:00:00,27.47568
lka.ag.lnd.agri.zs,1962-06-15T00:00:00,27.22054
lka.ag.lnd.agri.zs,1963-06-15T00:00:00,32.84963
